certification_number,player,title1,title2,title3
55396779,Dark Charmeleon,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396784,Tauros,1999 Pokemon Jungle 1st Edition PSA 9,1999 Pokemon Jungle PSA 9,1999 1st Edition PSA 9
55396785,Clefable,1999 Pokemon Jungle 1st Edition PSA 9,1999 Pokemon Jungle PSA 9,1999 1st Edition PSA 9
55396786,Butterfree,1999 Pokemon Jungle 1st Edition PSA 9,1999 Pokemon Jungle PSA 9,1999 1st Edition PSA 9
55396787,Dark Rapidash,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396789,Dark Magneton,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396790,Dark Machoke,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
56449210,Charizard GX,2019 Pokemon SM Black Star Promo Promo Hidden Fates Tins PSA 10,2019 Pokemon SM Black Star Promo PSA 10,2019 Promo Hidden Fates Tins PSA 10
56449219,FA/M Venusaur EX,2016 Pokemon XY Evolutions Evolutions PSA 10,2016 Pokemon XY Evolutions PSA 10,2016 Evolutions PSA 10
56490584,Charizard Holo,2020 Pokemon Swsh Black Star Promo Prerelease PSA 10,2020 Pokemon Swsh Black Star Promo PSA 10,2020 Prerelease PSA 10
56490595,M Charizard EX,2016 Pokemon XY Generations Generations PSA 9,2016 Pokemon XY Generations PSA 9,2016 Generations PSA 9
56490600,Charizard V,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box PSA 10,2020 Pokemon Swsh Black Star Promo PSA 10,2020 Chmpn Path Elite Trnr Box PSA 10
56490601,Charizard V,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box PSA 10,2020 Pokemon Swsh Black Star Promo PSA 10,2020 Chmpn Path Elite Trnr Box PSA 10
56490605,Charizard V,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box PSA 10,2020 Pokemon Swsh Black Star Promo PSA 10,2020 Chmpn Path Elite Trnr Box PSA 10
56490607,Charizard V,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box PSA 10,2020 Pokemon Swsh Black Star Promo PSA 10,2020 Chmpn Path Elite Trnr Box PSA 10
56490608,Charizard V,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box PSA 10,2020 Pokemon Swsh Black Star Promo PSA 10,2020 Chmpn Path Elite Trnr Box PSA 10
56490609,Charizard V,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box PSA 10,2020 Pokemon Swsh Black Star Promo PSA 10,2020 Chmpn Path Elite Trnr Box PSA 10
56490610,Charizard V,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box PSA 10,2020 Pokemon Swsh Black Star Promo PSA 10,2020 Chmpn Path Elite Trnr Box PSA 10
56490614,Charizard V,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box PSA 10,2020 Pokemon Swsh Black Star Promo PSA 10,2020 Chmpn Path Elite Trnr Box PSA 10
56490615,Charizard V,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box PSA 10,2020 Pokemon Swsh Black Star Promo PSA 10,2020 Chmpn Path Elite Trnr Box PSA 10
56490617,Charizard V,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box PSA 10,2020 Pokemon Swsh Black Star Promo PSA 10,2020 Chmpn Path Elite Trnr Box PSA 10
56490620,Charizard V,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box PSA 10,2020 Pokemon Swsh Black Star Promo PSA 10,2020 Chmpn Path Elite Trnr Box PSA 10
56490621,Charizard V,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box PSA 10,2020 Pokemon Swsh Black Star Promo PSA 10,2020 Chmpn Path Elite Trnr Box PSA 10
56490624,Charizard V,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box PSA 10,2020 Pokemon Swsh Black Star Promo PSA 10,2020 Chmpn Path Elite Trnr Box PSA 10
56490626,Charizard V,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box PSA 10,2020 Pokemon Swsh Black Star Promo PSA 10,2020 Chmpn Path Elite Trnr Box PSA 10
56490633,Shining HO OH Holo,2017 Pokemon SM Black Star Promo Promo S L Elite Trnr Box PSA 10,2017 Pokemon SM Black Star Promo PSA 10,2017 Promo S L Elite Trnr Box PSA 10
56490645,Charizard GX,2019 Pokemon SM Black Star Promo Promo Hidden Fates Tins PSA 10,2019 Pokemon SM Black Star Promo PSA 10,2019 Promo Hidden Fates Tins PSA 10
56490656,Charmander Holo,2019 Pokemon Sun & Moon Hidden Fates Hidden Fates PSA 10,2019 Pokemon Sun & Moon Hidden Fates PSA 10,2019 Hidden Fates PSA 10
56490657,Charmander Holo,2019 Pokemon Sun & Moon Hidden Fates Hidden Fates PSA 10,2019 Pokemon Sun & Moon Hidden Fates PSA 10,2019 Hidden Fates PSA 10
63150425,Jungle Foil Pack,1999 Wotc Pokemon Jungle Foil Pack Flareon PSA 9,1999 Wotc Pokemon Jungle Foil Pack PSA 9,1999 Flareon PSA 9
63150431,Jungle Foil Pack,1999 Wotc Pokemon Jungle Foil Pack Flareon PSA 9,1999 Wotc Pokemon Jungle Foil Pack PSA 9,1999 Flareon PSA 9
63150437,Jungle Foil Pack,1999 Wotc Pokemon Jungle Foil Pack Scyther PSA 9,1999 Wotc Pokemon Jungle Foil Pack PSA 9,1999 Scyther PSA 9
63150444,Jungle Foil Pack,1999 Wotc Pokemon Jungle Foil Pack Wigglytuff PSA 9,1999 Wotc Pokemon Jungle Foil Pack PSA 9,1999 Wigglytuff PSA 9
63150448,Jungle Foil Pack,1999 Wotc Pokemon Jungle Foil Pack Wigglytuff PSA 9,1999 Wotc Pokemon Jungle Foil Pack PSA 9,1999 Wigglytuff PSA 9
63150455,Base Foil Pack,1999 Wotc Pokemon Base Foil Pack Charizard PSA 9,1999 Wotc Pokemon Base Foil Pack PSA 9,1999 Charizard PSA 9
63203372,Base Foil Pack,1999 Wotc Pokemon Base Foil Pack Venusaur PSA 9,1999 Wotc Pokemon Base Foil Pack PSA 9,1999 Venusaur PSA 9
63203377,Base Foil Pack,1999 Wotc Pokemon Base Foil Pack Venusaur PSA 9,1999 Wotc Pokemon Base Foil Pack PSA 9,1999 Venusaur PSA 9
63203388,Base Foil Pack,1999 Wotc Pokemon Base Foil Pack Charizard PSA 9,1999 Wotc Pokemon Base Foil Pack PSA 9,1999 Charizard PSA 9
63203408,Base Foil Pack,1999 Wotc Pokemon Base Foil Pack Blastoise PSA 9,1999 Wotc Pokemon Base Foil Pack PSA 9,1999 Blastoise PSA 9
63203417,Base Foil Pack,1999 Wotc Pokemon Base Foil Pack Blastoise PSA 9,1999 Wotc Pokemon Base Foil Pack PSA 9,1999 Blastoise PSA 9
63203419,Base Foil Pack,1999 Wotc Pokemon Base Foil Pack Blastoise PSA 9,1999 Wotc Pokemon Base Foil Pack PSA 9,1999 Blastoise PSA 9
63919459,Articuno Holo,1998 Pokemon Japanese Red Green Gift Red Green Gift Set PSA 10,1998 Pokemon Japanese Red Green Gift PSA 10,1998 Red Green Gift Set PSA 10
64295360,FA/Charizard VStar,2022 Pokemon Sword and Shield Brilliant Stars Brilliant Stars Secret PSA 9,2022 Pokemon Sword and Shield Brilliant Stars PSA 9,2022 Brilliant Stars Secret PSA 9
64295361,FA/Charizard VStar,2022 Pokemon Sword and Shield Brilliant Stars Brilliant Stars Secret PSA 10,2022 Pokemon Sword and Shield Brilliant Stars PSA 10,2022 Brilliant Stars Secret PSA 10
